SALARY,EXPERIENCE,AGE,HT,WT,PPG_LAST_SEASON,APG_LAST_SEASON,RPG_LAST_SEASON,PER_LAST_SEASON,PPG_CAREER,APG_CAREER,RGP_CAREER,GP,MPG,FGP,THP,FTP,APG,BLKPG,STLPG,TOPG
2494346,3,23,210.82,113.12,13.2,6.8,0.3,19.78,9.2,5.7,0.3,199,18.8,0.463,0.345,0.737,1.1,0.3,0.5,1
2280600,2,24,198.12,95.02,10.2,3.2,5.1,12.12,8,2.3,4.1,134,22.9,0.399,0.374,0.754,2.3,0.1,0.7,1.1
12500000,4,26,195.58,87.78,13.9,2.7,2.7,16.5,14.1,2.8,3.2,301,27.6,0.443,0.339,0.807,2.8,0.1,1,1.7
2760095,3,24,205.74,104.07,4.2,0.5,2.4,11.56,5.3,0.7,3,153,15.1,0.481,0.283,0.605,0.7,0.2,0.4,0.5
1512601,12,35,213.36,115.38,5,0.7,2.5,13.16,9,1,4.6,854,22.8,0.442,0.387,0.823,1,0.6,0.5,0.9
19000000,10,32,190.5,85.07,10,2.8,2.7,13.35,11.6,3.3,3.2,666,28.8,0.453,0.383,0.8,3.3,0.3,0.9,1.3
3472887,4,25,203.2,93.21,14.7,1.6,2.8,14.38,13,2,3,248,27.5,0.419,0.369,0.828,2,0.2,0.8,1.2
7560000,15,37,200.66,95.93,9.2,1.2,2.3,13.41,9.9,1.8,3,1104,26.2,0.444,0.431,0.881,1.8,0.3,0.7,1.1
24119025,10,30,208.28,113.57,17.6,9.3,0.4,22.44,18.3,11.3,0.5,635,32.2,0.444,0.37,0.824,2.3,0.5,0.7,1.9
2272391,3,25,205.74,104.07,8.7,6.8,0.6,20.18,7.1,5.9,0.5,192,21.5,0.547,0.224,0.689,1.2,0.5,1.2,0.8
1512601,2,25,193.04,99.1,7.9,1.5,4.7,12.26,7.5,1.3,4.3,90,22.7,0.494,0.333,0.653,1.3,0.4,0.8,1
2775000,1,23,203.2,97.29,3.9,0.7,2,11.06,3.9,0.7,2,61,11,0.484,0.368,0.565,0.7,0,0.4,0.5
4068600,0,19,187.96,85.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14720000,14,33,198.12,101.81,8.3,1.8,2.9,8.48,12.6,2.1,3.2,960,27.1,0.419,0.374,0.732,2.1,0.2,1,1.4
17469565,7,27,208.28,107.69,5.8,6.6,0.3,13.66,9,8.4,0.7,519,27.8,0.518,0,0.608,0.8,0.7,0.5,1.1
1952760,1,21,210.82,114.93,3.7,1.9,0.4,24.23,3.7,1.9,0.4,32,6.7,0.731,0,0.724,0.2,0.4,0.1,0.3
838464,0,22,195.58,91.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2500000,5,27,200.66,92.76,11.3,1.5,2.5,13.66,5.5,0.8,1.9,209,16.1,0.448,0.403,0.798,0.8,0.1,0.4,0.4
1512601,13,37,190.5,90.5,4.5,2.1,1.5,11.27,9.2,5.9,2.5,846,27.2,0.474,0.411,0.873,5.9,0.1,0.8,1.5
25434263,6,25,210.82,126.24,15,16,1.6,22.94,13.6,13.4,1.5,463,30.4,0.545,0.167,0.421,1.1,1.5,1.3,1.7
1857480,2,21,210.82,110.86,4,2.1,0,10.58,3.7,2.1,0,57,8.3,0.362,0.319,0.784,0.5,0,0.1,0.6
7000000,4,26,187.96,90.5,6.2,1,1.6,12.27,8.1,2,2.8,259,22.6,0.387,0.361,0.785,2,0.2,0.8,0.7
32088932,8,29,208.28,113.12,21.4,7.4,0.3,19.65,21.5,9.2,0.5,529,35,0.508,0.324,0.683,4.3,0.5,0.9,2.5
17043478,7,28,190.5,94.12,14.6,5.3,2.8,15.96,12.4,4.4,3,448,24.8,0.43,0.32,0.857,4.4,0.1,0.7,2
